Timestamp,Gender,Career stage / position,Are you a wet or dry lab person?,Which industry do you work in?,In which country do you live/work?,R experience: How long have you been using R? ,Do you use base R or tidyverse? [Base R],Do you use base R or tidyverse? [Tidyverse],Bioconductor experience: How long have you been using Bioconductor? ,Is R/Bioconductor your primary analysis tool?,"What other programming languages do you use? (e.g. C, JavaScript, MATLAB, Python, ...)","What other biological software projects do you use? (e.g. Bioconda, Biopython, Galaxy, ...)",What types of data do you analyze using Bioconductor?,What is your primary tool for interacting with R/Bioconductor?,Which of the following do you do?,What barriers are there to contributing your package to Bioconductor?,Where do you go to get help on Bioconductor package use?,Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor's website],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor's support site],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor's package documentation],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Ease of use of Bioconductor packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Quality of Bioconductor packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Breadth of Bioconductor packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor core classes and packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor training material],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor annotation resources],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Interactive R/Shiny],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Data Visualization ],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor GitHub repository],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor F1000 workflows],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Package submission and review process],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Overall satisfaction with Bioconductor],"Please tell us about your experience with Bioconductor annotation resources (e.g. annotation packages, biomaRt, AnnotationHub, ...)",Please tell us about your experience with Bioconductor ExperimentHub,Which Bioconductor packages do you use most frequently?,What are the best aspects of Bioconductor?,What are the worst aspects of Bioconductor?,Do you have suggestions for new activities to benefit the user or developer community?,What analysis would you like to do in Bioconductor but currently cannot?,"Is there anything else you'd like to tell us? (e.g. future vision for Bioconductor, ...)"
10/7/2019 18:57:46,Male,Post-doc,Both,"Academia / University, Biotechnology (including start-up), Pharmaceutical",Germany,2 - 5 years,Frequent user,Rare user,2 - 5 years,Yes,"C, Python","Bioconda, Galaxy","RNA sequencing (bulk), Methylation, RNA modification",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",Funding,bioconductor.org/help,4,4,4,3,4,4,5,3,2,3,4,5,3,5,4,ID conversion is a nightmare and support resources are complicated an not easy to grasp. Might be an issue with underlying data (especially for non coding RNA),Bon,"S4Vectors, IRanges, GenomicRanges, Rsamtools, RNAmodR","class system, structured inheritance possible",Old package with weird code base,"User workflows are good, developer community might benefit from more prominent examples for inheriting, good practices and coding style","Create big datasets comfortably, e.g. with on disk backend.",
10/7/2019 19:03:22,Male,PhD Student,Dry lab,Academia / University,Germany,2 - 5 years,Frequent user,Frequent user,2 - 5 years,Yes,"C++, Mathematica, Java",,"RNA sequencing (bulk), Single cell genomics, Proteomics",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R package and released it via CRAN, I have written my own R / Bioconductor package and released it via Bioconductor",Long delays during submission process,"Colleagues, Stackoverflow, BioConductor Forum",2,4,5,4,4,,2,Not Applicable / Rarely use,3,4,5,Not Applicable / Rarely use,Not Applicable / Rarely use,2,4,"Good idea, but can be hard to find out how to do stuff. Intransparent API. Unclear documentation",Not used yet,"limma, DESeq2, SummerizedExperiment","Not just function documentation, but the vignettes. The community. ",S4 generics. Interaction of Bioconductor with tidyverse,"Package developer introduction book (like http://r-pkgs.had.co.nz/) with focus on Bioconductor packages: ie. best practices, pitfalls etc.",,"Thanks, for all the work in creating an awesome community"
10/7/2019 19:03:57,Male,Post-doc,Dry lab,Academia / University,Italy,5 - 10 years,Frequent user,Rare user,5 - 10 years,Yes,"C, C++",none,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted)",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",mostly the code styling,"bioconductor support site, stack overflow, rarely biostars",1,3,4,4,3,5,5,4,3,3,2,4,5,5,4,"I use them very often, but I prefer biomaRt instead of annotation packages.
In general the id conversions should be made easier, they are not for everyone.",none,"biomaRt, DESeq2, edgeR, ChIPpeakAnno, RUVseq, several others","The vignettes in a workflow style, giving people an easy-to-go immediate manual.","there is no good overview of the overall packages and functionalities, very often the same functionality is written in different packages in different manners.","Referred to the previous comment ""packages overview"": there should be better uniformity between the packages.
1. Giving to the developers a unique repository of available packages and functions. (in such a way no-one reinvents the wheel). This can be useful for package reviewers and for developers.
2. If a new function is proposed with the same ""aim"" of an existing one (in another package), it'd be useful to highlight the why and how it is ""better"" than the existing one.
In case it is really better than the old one, three possible approaches:
2.1 substitute the existing function with the new one
2.2 implement the ""better"" aspects in the old function
2.3 release the new function in the new package, printing a info message on the existing of the old functions",,
10/7/2019 19:05:21,Male,Post doc,Both,Academia / University,United Kingdom and Sweden,5 - 10 years,Frequent user,Rare user,2 - 5 years,Yes,"Some python, but 99% R. ",None. ,"Single cell genomics, FACS","RGui, RStudio","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor","Initially many of the standards, as I have a non-programmer background, but after the first round of reviews for my first BioConductor package, I do not see many barriers at all, actually. ","StockOverflow, mainly. ",4,4,5,5,5,5,5,5,4,Not Applicable / Rarely use,5,4,Not Applicable / Rarely use,5,5,"I use them regularly, but I do not interact with them more than you do in standardized work flows. ",,"FlowCore, DepecheR, SimpeSingleCell, scran, scater, SingleCellExperiment",The fact that many of the packages integrate so well.,"That some packages are not as integrated as they could be. It would be great if integrating to core structures would be even more strictly enforced, so that the flow from package to package would be seamless. ","One thing that I think would be a great quality increase (even if I understand that that would need many more of the developers to engage in reviewing) would be that each package would undergo re-review every two years, or something like this. Otherwise it is possible to get the package into BioConductor, and then starting to slip from the standards. ",,
10/7/2019 19:28:15,Male,Postdoc,Dry lab,Academia / University,United Kingdom,> 10 years,Frequent user,Sometimes user,5 - 10 years,Yes,"Python, Bash",Bioconda,"RNA sequencing (bulk), Single cell genomics, Epigenetics (ChIP-seq, ATAC-seq)",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor","Time, code readability (lack of comments, personal coding styles)","help page, vignette",4,4,5,4,4,5,5,Not Applicable / Rarely use,5,4,5,5,Not Applicable / Rarely use,4,5,"I used to use biomaRt a lot, but then moved on to org*db packages. I haven't use AnnotationHub much yet.",It's very convenient to access datasets for vignettes and unit tests.,SingleCellExperiment,Interoperability between (most) packages,"There can be large difference in the quality of packages. Coding styles can be very different and make some packages difficult to use, understand, or debug.","Hackhathon to encourage interaction between package developers (and interested users), to promote understanding and contribution to packages by new or existing developers.","Facilitating single-cell genomics benchmark of methods, parameter exploration, using parallel/cloud computing where possible. It is technically possible, but requires more time than any individual scientist or research group really has, I think. Teamwork could facilitate this.","The growing number of Bioc packages is sometimes counter productive, especially when users need to try several ""bad"" packages before finding the ""good"" one. Perhaps Bioc can afford to be more selective in the packages that it accepts. I find it already a good practice to discontinue packages that are not maintained and systematically fail the nightly builds"
10/7/2019 19:42:50,male,PI,Dry lab,Academia / University,Germany,> 10 years,Frequent user,Rare user,> 10 years,Yes,"Java, Bash","Bioconda, Galaxy","RNA sequencing (bulk), Metabolomics","Command line, RStudio, Emacs + ESS","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package and released it via Bioconductor",None really. ,"rdrr, man pages, support.bioc.org",4,4,4,4,4,4,4,4,3,3,3,4,3,3,5,I struggled to find out how to use / develop for it,I struggled to find out how to use / develop for it,xcms ,community. workshops.,lack of overview. ,Create wordles or even better text clustering of package descriptions. Embed bioschemas and/or make authors improve annotation of packages in bio.tools,,
10/7/2019 19:44:31,Female,PhD student,Dry lab,Academia / University,Switzerland,2 - 5 years,Frequent user,Frequent user,2 - 5 years,Yes,"Python, Bash",Bioconda,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Methylation, Single cell genomics, Microarray","Command line, RStudio","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar","number of potential users, time","package help, vignettes, bioconductor support page, biostars",2,3,2,5,3,4,4,Not Applicable / Rarely use,5,5,5,4,5,Not Applicable / Rarely use,5,it's my main source of annotation,rarely use,"SummarizedExperiment, GenomicRanges and those related to them. ggplot",the community!,"too many packages, maybe there should be some kind of filter??",,,
10/7/2019 19:56:09,,PhD student,Dry lab,"Academia / University, Hospital / Clinical",Spain,5 - 10 years,Frequent user,Frequent user,5 - 10 years,Yes,Python,,"RNA sequencing (bulk), Single cell genomics, Microarray","Command line, RStudio","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",,The manual and the vignette and maybe the support site if I'm stuck,3,5,4,4,4,4,4,2,4,Not Applicable / Rarely use,3,4,4,5,2,"Positive, they work nicely (except when I tried to annotate a E. coli variant which I don't know why it failed to create an annotation package from NCBI data)",I don't have any experience with ExperimentalHub. Why should I?,"org.Hs.eg.db, edgeR, DESeq2, limma, topGO, reactome.db, fgsea, clusterProfiler","The review of the packages at the submission is very good. I learn a lot of looking into them. Perhaps it could be further improved asking feedback of domain experts through slack or other official channels.
Forcing to have at least one vignette improves user experience a lot. ","Bioconductor tends to duplicate efforts (some packages have their parallels in CRAN, like the BiocParallel and parallel, or future). This makes harder to learn about packages and uses and makes feel that Bioconductor is aside the large R community. 
Also, once a package is approved the authors can introduce changes without review, which sometimes is abused to introduce methods that wouldn't get through review.",,,"Perhaps writing a guidebook or filming a tutorial about how to use all the Bioconductor resources could help all the users. 
Also some kind of announcement on each release about not only the deprecated packages but new packages and improvements on the existing packages would help to move forward. 
Upon acceptance of a package in Bioconductor it is accepted that the maintainers must be reachable and answer questions about the package however this is rarely enforced or encoded in some way (answers older than 6 months without answers from the maintainer count or should we wait for 6 more months?). "
10/7/2019 19:58:57,male,faculty,Dry lab,Academia / University,USA,> 10 years,Frequent user,Sometimes user,> 10 years,Yes,"C, C++, java, fortran",,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Methylation, Single cell genomics, Metabolomics, Proteomics, Microarray",Command line,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R package and released it via CRAN, I have written my own R / Bioconductor package and released it via Bioconductor",,,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,,,,,,,,
10/7/2019 20:12:24,female,postdoc,Both,Academia / University,Germany,5 - 10 years,Frequent user,Frequent user,5 - 10 years,Yes,Python,,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Hi-C, ChIP-seq",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package and released it via Bioconductor",,Bioconductor support site,4,5,4,4,4,5,5,5,4,Not Applicable / Rarely use,4,4,Not Applicable / Rarely use,5,5,"It's hard to keep track on what is the current best practice for accessing these data types. Maybe this is hard to do without seeming to unfairly promote one tool, but I'd love to have a tutorial available for common tasks (e.g. getting gene locations for a specific annotation version) that is always updated.",,GenomicRanges,"Great core packages, wide range of packages","Some packages have really poor documentation! Most are good, because of the Bioconductor review process. However some have poor docs, maybe because a lot of new functionality was added after acceptance",,,
10/7/2019 20:27:55,male,faculty,Dry lab,Academia / University,Germany,> 10 years,Sometimes user,Frequent user,5 - 10 years,Yes,"C, python","Conda/Bioconda, Galaxy","RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Methylation, Single cell genomics",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators",,"biostars, bioconductor support site",4,5,5,5,5,5,5,Not Applicable / Rarely use,Not Applicable / Rarely use,5,5,4,4,Not Applicable / Rarely use,5,I'm more likely to use biomart or a versioned GTF file than a package.,I've never used it,DESeq2,,Finding out the required non-bioconductor dependencies can sometimes be a pain.,,,
10/7/2019 20:33:29,male,bioinformatician (pharma industry),Dry lab,Pharmaceutical,Switzerland,> 10 years,Frequent user,Rare user,> 10 years,Yes,none,Cytoscape,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Metabolomics, Proteomics, Microarray, old-fashioned: ELISA, qPCR, some clinical",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available","intellectual property, one-off analyses rather than routine work","BioC Support Site, Google / StackOverflow, source code",2,2,1,2,2,1,2,2,1,Not Applicable / Rarely use,1,Not Applicable / Rarely use,1,Not Applicable / Rarely use,1,sometimes hard to keep up and find what's needed although it IS somewhere,,"limma, phyloseq, dada2, edgeR, DESeq2","community + community standards, documentation, code stability, ...","hmm, there were surprising changes in system-level dependencies",,,"Keep up the good work! :-) 
One thing: in order to focus resources on new code instead of fixing broken legacy code, I value as much backward compatibility as reasonable and a minimum of breaking changes eg to core packages.  I have been quite happy with BioC in this respect, in contrast to eg certain RStudio pkgs that are otherwise appealing but simply less useful if you have to maintain your analysis code."
10/7/2019 20:35:07,Male,Assistant Professor / Visiting Professor,Dry lab,"Academia / University, Government, Hospital / Clinical, Pharmaceutical",England,5 - 10 years,Frequent user,Sometimes user,5 - 10 years,Yes,"Shell, Python, JAVA",Bioconda,"RNA sequencing (bulk), Methylation, Metabolomics, Proteomics, Microarray, Imaging data, FACS, CRISPR, Clinical data, NanoString, Fluidigm","Command line, RGui","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",None,Bioconductor support forum,5,5,4,5,5,4,4,Not Applicable / Rarely use,5,1,4,4,Not Applicable / Rarely use,4,5,They are sufficient such that I can do my job more quickly and reliably.,NA,"DESeq2, limma, EnhancedVolcano, PCAtools","Generally, it helps to increase the reliability in bioinformatics software. In the field of bioinformatics, Bioconductor is un-matched in what it does. I long for the day when people can no longer just put random, un-tested code online.",NA,NA,Mass cytometry analysis (I'm developing a package),
10/7/2019 20:51:03,Male,tenure-track faculty,Dry lab,Academia / University,Italy,> 10 years,Frequent user,Sometimes user,5 - 10 years,Yes,"Python, C++",None,"RNA sequencing (bulk), Single cell genomics, ChIP-seq, ATAC-seq",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor","In my opinion, the biggest barrier is the need to learn S4, which is uncommon outside Bioconductor.","support forum, slack",3,4,5,5,5,5,5,5,5,4,4,5,5,5,5,"I don't use annotation that often. In the past, when I was a more active analyst I used biomaRt a lot. biomaRt is great but the occasional connection issue makes it annoying at times. I have used AnnotationHub for teaching and it has been great.","I love ExperimentHub! It does sound a bit overwhelming from a user's perspective, it is much better when used behind the curtains in other packages (e.g., TENxPBMCData or scRNAseq).","Anything related to RNA-seq and single-cell RNA-seq, edgeR, DESeq2, scater.","Vignettes! And documentation in general. Also, the community is always very helpful in forums, emails, etc. Definitely improved over R-help/R-devel.","The website is confusing at times, and it's not always easy to find the resources, e.g., help with git for maintaining packages.","It would be nice to have a recurrent screencast (monthly?) through youtube or similar, in which Marin or some other core member shows what's new in Bioconductor. Sometimes it is hard to update your pipeline with the latest packages and/or best practices.",None that I can think of,Keep up the great work!
10/7/2019 20:54:20,male,,Dry lab,Academia / University,UK,5 - 10 years,Frequent user,Rare user,5 - 10 years,Yes,,,"DNA sequencing (whole genome, exome / targeted)","Command line, RStudio","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators",,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2019 21:14:41,Male,post-doc,Dry lab,Academia / University,Scotland,5 - 10 years,Frequent user,Frequent user,5 - 10 years,Yes,"python, scala, bash",bioconda,"RNA sequencing (bulk), Methylation, Microarray, ChIP-Seq","RStudio, Snakemake (for non-interactive work)","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar",Most of my packages are attached to a specific analysis project; they are too throwaway for release on bioconductor. ,help() then google then github,3,Not Applicable / Rarely use,4,3,3,3,5,4,3,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,3,The ability to use specific ensembl releases in biomaRt is really good. I tend not to use annotation sources if I can't bind them to a specific release.,No idea what that is,"limma, edgeR, biomaRt","The established classes (ExpressionSet, DGEList, etc)",Hacking at ESets to easily use ggplot2; the duplicate packages; those packages that auto-install other bioconductor packages (this plays hell with my conda envs); `AnnotationDbi::select` vs `dplyr::select` collisions,Not really. I'm not aware that bioconductor does much community outreach. It would be nice to have a disqus-type comments section at the end of the workflow pages,"my_dge %>% filter(feature_id %in% some_set) %>% filter(sample_treatment != ""undesirable-treatment"") %>% ggplot2(aes(x = sample_treatment, y = intensity)) + geom_boxplot()",Not really
10/7/2019 21:15:22,M,Post-doc/industry,Dry lab,Biotechnology (including start-up),Australia / USA (remote work),5 - 10 years,Frequent user,Frequent user,2 - 5 years,Yes,,,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Various genomics",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R package and released it via CRAN",Knowledge of S4,Vignettes,5,Not Applicable / Rarely use,4,4,4,4,4,Not Applicable / Rarely use,Not Applicable / Rarely use,5,5,5,Not Applicable / Rarely use,Not Applicable / Rarely use,5,,,"MultiAssayExperiment, SummarizedExperiment","Shared API across inherited classes, E.g. [",Package discovery,,dplyr support for DataFrame (working on it),
10/7/2019 21:20:45,male,tenure track faculty,Dry lab,Academia / University,usa,> 10 years,Frequent user,Frequent user,5 - 10 years,Yes,"python, C++",plink2,"RNA sequencing (bulk), Single cell genomics, Microarray, FACS",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R package and released it via CRAN, I have written my own R / Bioconductor package and released it via Bioconductor",submission and review process (the rigor is appropriate and documentation is good),"slack, support.bioconductor.org",2,4,3,4,4,5,4,2,4,Not Applicable / Rarely use,3,2,5,5,5,"The stateful API is hard to use, wish there was a web front end (if there is I can't find it)","The stateful API is hard to use, wish there was a web front end (if there is I can't find it)",SummarizedExperiment,friendly community lower code duplication and increases interoperability,tech debt in some project areas (website most notably),,,
10/7/2019 21:42:27,Male,PhD student,Both,Academia / University,Australia,1 - 2 years,Frequent user,Rare user,1 - 2 years,Yes,Python,Bioconda,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Methylation",RStudio,I use functions from R packages to analyze data,Skill,Bioconductor support,,4,4,4,4,4,,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,5,,,"DESeq2,tximport, DiffBind",,,,,
10/7/2019 21:52:06,male,post-doc,Dry lab,Academia / University,the Netherlands,5 - 10 years,Frequent user,Frequent user,5 - 10 years,Yes,"Java, pyhton",Bedtools,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted)",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I have written my own R / Bioconductor package, but its not publicly available",Investing time into clean code,Google,3,4,5,4,4,5,4,4,5,Not Applicable / Rarely use,4,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,4,"Not easy to gain and keep the overview, yey very well integrated",None,"GenomicRanges, BSgenome Packages",It makes very high-level analysis possible,For beginners it is difficult to know where to start,,There are some genomic range operations that are vey easy with bedtools but rather complex with GenmocRanges,Thak you for so many great packages!!
10/7/2019 21:52:26,Male,Post-doc,Both,Academia / University,Norway,5 - 10 years,Sometimes user,Frequent user,2 - 5 years,Yes,Python ,Geneious ,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted)",RStudio,I use functions from R packages to analyze data,Don't have the skills to write one ,"Bioconductor support, stack overflow, Google search ",4,4,4,3,3,4,Not Applicable / Rarely use,4,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,5,Not Applicable / Rarely use,4,NA,NA,"Deseq2, edger, genomic ranges",The support and the tutorials ,"Some ""minor"" packages are not easy to understand. The Bioconductor object formats are not always easy to understand. ",NA,,
10/7/2019 22:00:57,NA,Post Doc,Dry lab,Academia / University,Denmark,5 - 10 years,Frequent user,Frequent user,5 - 10 years,,Unix,"Galaxy, conda, unix","RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Single cell genomics, Proteomics",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",The requirement for creating the PDF Reference Manual. It is simply to easy to make something that makes this process brea.,Support.bioconductor.org and biostars.org,2,4,4,2,5,4,3,Not Applicable / Rarely use,4,Not Applicable / Rarely use,5,Not Applicable / Rarely use,5,2,5,,,"GenomicRanges, edgeR, limma",The easy of distribution and the use of vignettes,,,"Proteomics, tidyverse integration","It would be very nice if you could announce the release schedule further ahead of time to help us plan.
Currently I think the review process focuses to much on classes, methods etc an less on usability and user friendly documentation."
10/7/2019 22:25:00,Female,post-doc,Dry lab,Academia / University,Switzerland,2 - 5 years,Sometimes user,Frequent user,2 - 5 years,Yes,Python,4-5 years ago used Biopython,Proteomics,RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor","patchy documentation/tutorials of git versioning (esp. how to prevent big files from occuring in the first place). Guidelines that are clear BEFORE bioCcheck, not after, specialized functions, as in devtools, to check specific check item (e.g. like check_man). It's not clear whether one should contribute to existing package or develop their own. ","Reviewer of the package, documentation, bioconductor mailing list.",3,3,3,3,3,4,Not Applicable / Rarely use,3,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,4,Not Applicable / Rarely use,4,4,Good that they exist!,never heard of,limma,forced documentation -> packages are quality certified at least minimally,"unstructured universe of packages, little training (it's good time to have MOOCs, e.g. on DataCamp for core packages).","Blogs to ""best/most useful packages/most useful new packages"", MOOCs, offline training as conference satellites",,
10/7/2019 22:28:31,,,Dry lab,Academia / University,Germany,> 10 years,Frequent user,Frequent user,> 10 years,Yes,"C, perl, bash",Bioconda,,RStudio,"I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",,"Bioconductor's support site, Vignettes",3,5,4,4,4,4,3,3,3,2,,,3,5,4,,,,,,,,
10/7/2019 22:32:07,Female,Post-doc,Dry lab,Academia / University,Australia,2 - 5 years,Frequent user,Sometimes user,2 - 5 years,Yes,Python,,"RNA sequencing (bulk), Single cell genomics, Imaging data, Chromosome capture",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators",,"Bioconductor support page, colleagues",4,4,5,4,5,5,5,4,4,3,3,3,4,Not Applicable / Rarely use,4,,,"Limma, edgeR, genomic ranges",Regularly updated; great in-depth documentation; support site; variety of tools; consistent object types; ,Packages changing without notification,More workflows and more training,Would like more training and workflows,Great resource and software
